ID. Productor:;Provincia;Localidad;CUENCA LECHERA;SUPERFICIE TOTAL TAMBO (Has);Sup VACA ADULTA (Has);Carga VT;Kg MS concentrado / VO / dia - promedio anual;% VACA ORD.;VO;VS;VT;LCG;PV VO;CMS;Sistema alimentación;CMS pastura;lts;kg/d;%GB;%PC;% PV;LCGP;Terneras recría (< 12 meses);Terneros/as guachera;total rianza+recria;Sup a trabajar;RECRIA         (Has);"AGRICULTURA
(Has)";"GANADERIA
(Has)";SUPERFICIE TOTAL TAMBO (Has);Energia CO2 TNCO2eq / año;Fertilizante N2O TNCO2eq / año;Animales CH4 TNCO2eq / año;Animales N2O TNCO2eq / año;Fertilizante (propio) N2O TNCO2eq / año;Residuos (propio) N2O TNCO2eq / año;Total materias primas NCO2eq / año;Fermentacion entérica Recría TNCO2eq / año;CH4 extretas recria TNCO2eq / año;N2O excretas recría TNCO2eq / año;Fermentación enterica tambo CH4 TNCO2eq / año;Manejo Estiercol CH4 TNCO2eq / año;Manejo estiercol N2O TNCO2eq / año;Estiercol en pastura CH4 TNCO2eq / año;Estiercol en pasturas N2O TNCO2eq / año;Energía CO2 TNCO2eq / año;Total Tambo TNCO2eq / año;Total establecimiento TNCO2eq / año;Total establecimeinto KgCO2eq / Lt;Factor de allocacion %;Total leche KgCO2eq / Lt
60;Buenos Aires;casbas;OESTE BONAERENSE;200;120;1.33;4;0.78125;125;35;160;16.76;650;18.5;sep;10.19;16.74;17.28;3.8;3.26;3.1;16.58;45;92;137;200;80;0;0;200;12.44;18.13;164.79;60.75;22.95;63;88.51;164.77;0.03;60.75;444.17;0.63;1.03;3.28;16.8;34.99;500.89;589.4;0.78;0.89;0.69
61;Buenos Aires;bocayuva;OESTE BONAERENSE;350;240;1.77;7;0.7529411765;320;105;425;19.47;650;19.49;TMR;6.94;20.3;20.95;3.53;3.34;3.18;19.54;138;290;428;300;60;0;0;350;25.75;34.08;499.03;159.25;186.49;154;296.7;498.73;0.3;159.25;1147.83;79.22;31.6;0;0;50.38;1309.04;1605.74;0.7;0.92;0.65
62;Buenos Aires;Plomer;ABASTO;166;158;0.9;5.8;0.8450704225;120;22;142;7.29;650;15.01;PMR;7.08;17.66;18.23;0;3.18;3.02;8.89;20;16;36;161;3;0;0;166;11.38;25.93;62.18;22.13;9.03;85;49.19;62.17;0.01;22.13;312.44;0.31;0.67;2.21;10.83;2.84;329.31;378.5;0.97;0.85;0.82
63;Buenos Aires;Marcos Paz;ABASTO;70;63;0.9;7.7;0.8245614035;47;10;57;8.53;650;15.47;PMR;2.72;20.66;21.33;0;3.18;3.02;10.4;6;3;9;67;4;0;0;70;22.76;33.75;18.78;4.56;0;32;60.38;18.78;0;4.56;128.84;0.1;0.31;1.32;4.7;3.88;139.15;199.54;1.12;0.78;0.87
64;Buenos Aires;la blanqueada;OESTE BONAERENSE;990;390;1.81;13;0.780141844;550;155;705;28.34;650;22.76;TMR;1.53;27.42;28.29;4.01;3.48;3.3;28.34;295;540;835;550;160;0;390;990;43.98;61.83;1030.99;353.41;237.98;289;419.61;1030.83;0.16;353.41;2476.27;190.88;46.44;0;0;75.83;2789.42;3209.02;0.56;0.95;0.54
65;Buenos Aires;quemu quemu;OESTE BONAERENSE;200;120;1.16;7.8;0.8273381295;115;24;139;21.36;650;20.19;sep;8.73;22.8;23.53;3.39;3.32;3.15;21.49;38;75;113;200;80;0;0;200;24.4;31.76;141.41;59.61;4.37;64;82.79;141.39;0.02;59.61;422.55;0.54;0.86;4.25;12;22.25;462.46;545.25;0.6;0.92;0.56
66;Buenos Aires;villa sena;OESTE BONAERENSE;350;200;1.48;11;0.8813559322;260;35;295;23.65;650;21.03;TMR;3.75;23.73;24.49;3.77;3.23;3.07;23.35;122;188;310;340;140;0;0;350;30.5;45.68;410.52;124.92;41.78;165;193.76;410.26;0.27;124.92;938.74;65.65;10.57;0;0;75.8;1090.76;1284.52;0.58;0.93;0.54
67;Buenos Aires;Gral. Rodríguez;ABASTO;60;39;0.73;2.5;0.8596491228;25;4;29;8.97;650;15.63;sep;13.36;21.73;22.43;0;3.18;3.02;10.94;16;2;18;49;10;0;0;60;7.15;10.41;37.83;17.1;0;19;22.59;37.82;0;17.1;65.99;3.18;0.42;0.48;2.1;5.03;77.2;99.79;1.02;0.92;0.94
68;Buenos Aires;Marcos Paz;ABASTO;158;119;0.87;5.5;0.9029126214;93;10;103;4.58;650;14.01;PMR;7.39;11.09;11.45;0;3.18;3.02;5.58;25;6;31;151;32;0;0;158;27.43;35.49;122.75;46.26;16.45;52;117.12;122.74;0.02;46.26;450.28;85.71;8.86;1.51;5.05;37.75;589.17;706.28;0.78;0.9;0.7
69;Buenos Aires;1° junta;OESTE BONAERENSE;130;82;1.73;8.6;0.8450704225;120;22;142;20.88;650;20.01;PMR;7.11;21.28;21.96;3.67;3.26;3.1;20.73;42;38;80;122;40;0;0;130;29.02;39.2;198.07;62.46;147.82;108;247.86;197.93;0.14;62.46;1043.64;317.63;47.39;2.73;10.69;31.83;1453.92;1701.78;0.65;1;0.65
70;Buenos Aires;General Villegas;OESTE BONAERENSE;327;215;1.48;9.5;0.8775510204;280;39;319;25.95;650;21.88;PMR;6.74;26.7;27.55;3.61;3.16;3;25.6;71;24;95;260;45;40;0;327;41.24;39.21;316.56;53.24;85.75;102;263.95;316.31;0.25;53.24;822.03;72.72;5.12;8.67;16.46;97.75;1022.76;1286.71;0.65;0.88;0.57
71;Cordoba;San Antonio de Litin;VILLA MARIA;200;100;2.54;10.9;0.937007874;238;16;254;22.81;650;20.72;TMR;0;24.69;25.48;3.3;3.15;2.99;22.69;121;60;181;193;93;0;0;200;12.89;18.77;0;0;0;65;45.87;0;0;0;247.66;0.16;0.64;0;0;14.21;262.67;308.55;0.91;1;0.91
72;Cordoba;La Playosa;VILLA MARIA;127;120;0.89;4.2;0.7943925234;85;22;107;8.69;650;15.53;sep;7.44;21.04;21.71;0;3.43;3.26;10.99;0;0;0;120;0;0;0;127;27.35;34.39;210.95;39.3;0;102;153.85;210.78;0.17;39.3;915.31;87.03;4.8;1.93;10.47;92.11;1111.65;1265.5;0.71;0.91;0.65
73;Cordoba;San Antonio de Litin;VILLA MARIA;343;218;1.12;8.6;0.9387755102;230;15;245;21.46;650;20.23;TMR;0;21.97;22.67;3.64;3.16;3;21.16;52;30;82;272;54;0;0;343;23.06;24.77;96.1;19.99;50.34;59;147.52;96.03;0.07;19.99;437.63;11.18;9.54;0;0;49.35;507.69;655.21;0.8;1;0.8
74;Cordoba;Villa Concepcion del Tio;NORESTE CORDOBA;126;90;1.87;6.1;0.8160237389;138;31;169;16.37;650;18.35;TMR;3.41;16.88;17.42;3.6;3.25;3.08;16.27;33;29;62;117;27;0;0;126;11.37;16.56;51.91;7.17;7.1;72;49.23;51.55;0.36;7.17;458.49;9.55;1.3;0;0;14.21;483.55;532.79;0.66;0.95;0.63
75;Cordoba;Ucacha;SUR CORDOBA;128;124;1.11;4;0.7826086957;108;30;138;20.66;650;19.93;PMR;2.4;20.31;20.96;3.91;3.27;3.11;20.4;0;13;13;124;0;0;0;128;9.5;13.84;314.76;126.16;22.34;233;61.18;314.72;0.04;126.16;1853.59;2.55;3.68;3.5;15.21;15.51;1894.05;1955.23;0.58;0.93;0.55
76;Cordoba;La Playosa;VILLA MARIA;189;162;1.18;0;0.8534031414;163;28;191;26.55;650;22.1;PMR;12.83;27.49;28.37;3.57;3.21;3.05;26.33;0;0;0;162;0;0;0;189;11.32;22.08;45.21;7.89;1.44;33;34.84;45.17;0.03;7.89;142.26;0.52;4.62;4.99;13.55;0;165.95;200.78;0.9;1;0.9
77;Cordoba;Pozo del Molle;NORESTE CORDOBA;500;450;1.49;3.3;0.8286140089;556;115;671;16.42;650;18.37;sep;10.86;15.61;16.11;4.13;3.58;3.4;16.49;100;120;220;490;40;0;0;500;18.46;16.85;126.56;30.66;38.43;84;128.96;126.47;0.09;30.66;539.07;0.5;1.11;13.15;58.75;55.22;667.79;796.74;0.84;1;0.84
78;Cordoba;Villa Concepcion del Tio;NORESTE CORDOBA;110;70;0.86;4.2;0.75;45;15;60;13.61;650;17.34;PMR;7.54;13.94;14.38;3.64;3.25;3.09;13.52;14;15;29;102;32;0;0;110;34.56;45.38;73.54;13.25;0.27;58;118.51;73.48;0.05;13.25;269.1;0.97;6.32;0.91;0.06;38.3;315.66;434.17;0.92;1;0.92
79;Cordoba;Villa Concepcion del Tio;NORESTE CORDOBA;207;147;1.22;6.5;0.8194444444;148;33;181;17.66;650;18.83;PMR;4.29;18.15;18.73;3.62;3.23;3.07;17.52;30;65;95;200;53;0;0;207;9.21;17.56;118.73;53.66;12.97;134;86.5;118.72;0.01;53.66;509.89;1.5;11.89;4.44;16.84;46.76;591.33;677.82;0.88;1;0.88
80;Cordoba;Villa Concepcion Del Tio;NORESTE CORDOBA;150;110;0.9;9.6;0.7727272727;77;23;100;16.93;650;18.56;PMR;0;17.31;17.86;3.65;3.26;3.09;16.81;21;33;54;146;36;0;0;150;35.39;43.2;136.12;25.68;54.06;112;155.71;135.31;0.81;25.68;782.83;6.48;13.08;2.7;0.07;23.05;828.21;983.92;0.58;0.88;0.51
81;Cordoba;Monte De Los Gauchos;SUR CORDOBA;120;92;0.86;8.5;0.8860759494;70;9;79;18.59;650;19.17;PMR;4.94;18.7;19.29;3.76;3.22;3.06;18.37;10;20;30;112;20;0;0;120;30.75;40.1;128.2;30.79;23.06;93;973.51;128.11;0.09;30.79;677.51;19.98;12.39;2.23;4.6;879.6;1596.3;2569.81;1.55;1;1.55
82;Cordoba;Villa Concepcion del Tio;NORESTE CORDOBA;373;292;0.73;3.3;0.8215962441;175;38;213;12.18;650;16.81;PMR;8.69;12.47;12.87;3.64;3.23;3.07;12.08;25;43;68;368;76;0;0;373;7.12;10.38;94.99;41.84;0;57;63.08;94.98;0.01;41.84;315.93;2.21;1.01;3.36;0.26;45.59;368.35;431.43;1.22;0.86;1.04
83;Cordoba;Bengolea;SUR CORDOBA;240;230;1.17;9.9;0.8441558442;228;42;270;20.5;650;19.87;PMR;2.71;21.03;21.7;3.63;3.3;3.13;20.43;0;65;65;230;0;0;0;240;5.71;17.04;107.33;41.15;0;90;37.27;107.32;0.01;41.15;220.51;1.06;0.49;5.79;0.29;14.52;242.66;279.93;0.8;1;0.8
84;Cordoba;Villa Concepcion del Tio;NORESTE CORDOBA;270;189;1.33;8.4;0.8349900596;210;42;252;21.93;650;20.4;TMR;7.71;21.72;22.42;3.86;3.2;3.04;21.56;31;68;99;260;71;0;0;270;23.16;28.07;0;0;25.76;52;102.6;0;0;0;314.77;0.38;0.83;0;0;25.61;341.59;444.19;1.08;0.94;1.02
85;Cordoba;Arroyo Algodón;VILLA MARIA;127;90;1.61;2.5;0.7586206897;110;35;145;7.22;650;14.99;sep;7.57;17.48;18.04;0;3.18;3.02;8.8;40;40;80;125;35;0;0;127;15.83;23.06;128.06;37.57;36.03;84;149.66;127.97;0.09;37.57;402.05;13.95;1.42;1.35;17.41;74.74;510.92;660.57;1.41;0.87;1.24
86;Cordoba;James Craik;VILLA MARIA;75;70;1.16;6.7;0.9012345679;73;8;81;7.22;650;14.99;sep;1.44;17.49;18.05;0;3.18;3.02;8.8;15;12;27;75;5;0;0;75;17.81;25.94;137.38;60.27;9.37;39;81.31;137.36;0.02;60.27;401.29;83.75;11.25;1.09;3.79;28.2;529.37;610.69;0.68;0.92;0.62
87;Cordoba;Carrilobo;NORESTE CORDOBA;200;140;0.6;1.7;0.8333333333;70;14;84;13.9;650;17.44;sep;10.26;14.32;14.78;3.6;3.2;3.04;13.76;33;33;66;191;51;0;0;200;13.84;20.16;46.09;14.28;23.24;84;67.68;46.08;0.01;14.28;316.51;36.22;4.46;1.45;7.18;10.43;376.26;443.94;1.19;0.84;1.01
88;Cordoba;La Playosa;VILLA MARIA;110;70;1.89;6.7;0.7803030303;103;29;132;10.94;650;16.35;PMR;4.91;11.65;12.02;3.4;3.23;3.07;10.92;0;0;0;110;40;0;0;110;28.07;44.92;98.25;22.16;65.53;79;179.31;98.17;0.08;22.16;369.93;37.24;12.49;2.36;13.94;40.79;476.75;656.07;0.98;0.87;0.85
89;Cordoba;Ballesteros;VILLA MARIA;155;140;1.29;5;0.9;162;18;180;6.49;650;14.72;sep;5.89;15.73;16.23;0;3.17;3.01;7.9;45;23;68;143;3;0;0;155;24.32;35.42;34.61;11.61;0.35;14;69.26;34.61;0;11.61;146.45;1.92;0.25;2.34;9.17;9.16;169.29;238.55;0.91;0.85;0.77
90;Cordoba;Las Mojarras;VILLA MARIA;130;60;2;6.3;0.8333333333;100;20;120;24.88;650;21.48;sep;7.59;27.34;28.22;3.21;3.13;2.97;24.77;48;51;99;122;62;0;0;130;17.92;18.41;56.04;20.02;0;44;59.36;56.03;0.01;20.02;205.4;0.26;0.53;3.35;10.16;23.03;242.72;302.08;1.23;0.92;1.13
91;Cordoba;James Craik;VILLA MARIA;162;120;1.17;5;0.6227758007;88;53;141;9.54;650;15.84;sep;5.11;23.12;23.86;0;3.18;3.02;11.64;14;21;35;140;20;0;0;162;15.14;27.47;296.1;55.64;16.5;110;148.4;294.35;1.75;55.64;757.76;26.54;14.95;2.09;25.4;89.29;916.03;1064.43;0.83;0.76;0.63
92;Cordoba;James Craik;VILLA MARIA;200;147;1.03;10;0.7302631579;111;41;152;16.41;650;18.37;TMR;0.82;19.6;20.22;2.74;3.07;2.92;16.5;33;30;63;183;36;0;0;200;14.91;18.36;423.23;172.1;30.25;167;126.5;423.19;0.04;172.1;1447.54;2.71;2.87;0;0;62.98;1516.1;1642.59;0.62;0.8;0.5
93;Cordoba;Ucacha;SUR CORDOBA;34;27;1.78;8;0.8958333333;43;5;48;16.61;650;18.44;PMR;4.15;17.85;18.42;3.34;3.31;3.14;16.71;10;0;10;32;5;0;0;34;20.52;43.02;132.22;40.49;0;172;94.55;132.14;0.09;40.49;638.85;22.91;16.12;1.01;2.6;31.01;712.5;807.06;1.36;0.74;1
94;Cordoba;Ausonia;VILLA MARIA;148;80;1.08;5;0.8023255814;69;17;86;8;650;15.27;sep;1.66;19.39;20.01;0;3.18;3.02;9.76;20;23;43;120;40;0;0;148;36.55;63.29;240.1;36.84;0;66;206.56;238.49;1.6;36.84;892.46;34.57;3.05;1.62;8.56;106.72;1046.98;1253.54;0.6;0.9;0.54
95;Cordoba;Morteros;NORESTE CORDOBA;220;210;1.43;4.5;0.8;240;60;300;14.9;650;17.81;sep;9.31;15.86;16.37;3.4;3.05;2.9;14.66;40;40;80;210;0;0;0;220;19.69;24.63;75.68;21.74;0;54;71.95;75.63;0.05;21.74;389.99;0.37;1.04;4.42;0.36;27.63;423.8;495.75;0.68;0.84;0.57
96;Cordoba;Colonia Dos Hermanos;NORESTE CORDOBA;417;230;2.27;6.9;0.828708134;433;90;523;16.76;650;18.5;PMR;7.42;18.33;18.92;3.24;3.17;3.01;16.73;160;63;223;280;50;120;0;417;39.35;61.45;168.68;25.42;35.07;72;230.32;167.55;1.14;25.42;797.94;1.97;13.52;9.31;45.91;94.46;963.12;1193.44;0.62;0.93;0.58
97;cordoba;Valtelina;NORESTE CORDOBA;300;290;0.9;9.8;0.8076923077;210;50;260;6.34;650;14.66;PMR;0;15.36;15.86;0;3.18;3.02;7.73;60;40;100;298;8;0;0;300;9.24;16.63;90.04;25.06;0;67;57.12;89.98;0.06;25.06;362.78;2.42;5.51;7.74;0.14;31.25;409.84;466.96;0.72;0.9;0.65
98;Cordoba;Colonia Miles;NORESTE CORDOBA;125;115;2.14;11.5;0.9593495935;236;10;246;24.46;650;21.33;TMR;1.71;26.22;27.06;3.36;3.07;2.91;24.12;0;75;75;115;0;0;0;125;15.67;11.33;331.89;100.52;23.06;172;170.12;331.66;0.22;100.52;814.5;36.25;3.87;0;0;120.07;974.69;1144.81;0.84;0.86;0.72
99;Cordoba;San Pedro;NORESTE CORDOBA;125;112;1.24;6;0.7374100719;103;37;140;19.58;650;19.53;sep;7.82;20.51;21.17;3.5;3.26;3.09;19.53;30;23;53;113;1;0;0;125;46.15;78.48;142.07;49.5;60.67;82;213.62;141.98;0.09;49.5;484.77;21.06;10.27;2.89;17.49;28.32;564.8;778.42;0.8;0.83;0.67
100;Cordoba;Brikman;NORESTE CORDOBA;145;118;2.17;12;0.837890625;215;42;257;24.49;650;21.34;PMR;3.38;26.71;27.57;3.26;3.19;3.03;24.46;0;51;51;126;8;13;0;145;11.53;26.18;70.39;31.81;93.45;62;134.34;70.38;0;31.81;225.08;1.04;0.65;7.23;0.41;3.17;237.59;371.92;1.23;0.81;0.99
101;Cordoba;Col. 2 Hermanos;NORESTE CORDOBA;50;40;3.36;10.1;0.8884758364;120;15;135;22.67;650;20.67;PMR;0;23.2;23.94;3.65;3.18;3.02;22.39;23;58;81;40;0;0;0;50;16.57;28.92;217.01;83.42;49.88;72;100.45;216.98;0.03;83.42;527.77;0.62;0.89;4.53;0.11;5.08;539;639.45;0.81;0.77;0.62
102;Cordoba;Col. Miramar;NORESTE CORDOBA;150;136;0.9;4.3;0.8617886179;106;17;123;16.93;650;18.56;sep;4.67;17.36;17.91;3.64;3.2;3.04;16.74;40;26;66;146;10;0;0;150;0;0;860.69;220.77;953.08;165;1069.45;860.58;0.11;220.77;2468.35;34.09;4.37;2.27;0.15;116.38;2625.61;3695.07;0.76;0.87;0.66
103;Cordoba;Morteros;NORESTE CORDOBA;404;294;1.02;6.1;0.8666666667;260;40;300;14.49;650;17.66;PMR;8.3;15.14;15.62;3.52;3.11;2.96;14.28;170;50;220;394;100;0;0;404;4.36;15.47;90.84;29.26;32.04;59;65.02;90.58;0.26;29.26;278.21;16.59;2.38;5.08;17.97;13.15;333.39;398.41;1.17;0.83;0.97
104;Cordoba;Chazón;VILLA MARIA;220;170;1;11;0.8235294118;140;30;170;19.14;650;19.37;PMR;0;19.11;19.73;3.8;3.32;3.16;19.02;50;60;110;170;0;0;0;220;30.5;43.55;143.49;49.9;1.98;78;131.25;143.47;0.02;49.9;527.55;89.95;8.9;3.69;0.15;55.22;685.45;816.71;0.72;0.9;0.65
105;Cordoba;Adelia Maria;SUR CORDOBA;273;180;1.25;8.7;0.8129175947;183;42;225;16.13;650;18.27;PMR;1.77;16.25;16.77;3.75;3.25;3.09;15.97;10;30;40;264;84;0;0;273;0;0;70.4;21.2;0;77;15.51;70.39;0.01;21.2;183.05;7.98;0.97;4.67;0.06;15.51;212.25;227.75;0.82;0.65;0.53
106;Buenos Aires;San Manuel;MAR Y SIERRAS;105;85;1.18;6;0.8;80;20;100;8.52;650;15.46;PMR;5.71;20.64;21.3;0;3.18;3.02;10.39;20;10;30;105;20;0;0;105;15.87;30.3;113.81;28.66;0;56;74.72;113.8;0.01;28.66;296.73;65.95;2.85;1.35;10.14;28.55;405.57;480.29;0.96;1;0.96
107;Buenos Aires;Tandil;MAR Y SIERRAS;561;120;1.73;7;0.8653846154;180;28;208;12.2;650;16.82;PMR;3.52;12.79;13.19;3.5;3.1;2.95;12.02;81;65;146;289;169;150;122;561;9.65;19.04;150.77;50.67;0;160;77.8;150.75;0.02;50.67;520.15;5.42;2.85;3.85;14.18;49.11;595.57;673.36;0.97;0.83;0.81
108;Buenos Aires;El Verano;MAR Y SIERRAS;560;330;2.24;1.2;0.8783783784;650;90;740;20.57;650;19.9;PMR;12.88;20.63;21.29;3.77;3.42;3.24;20.61;260;194;454;550;220;0;0;560;3.61;1.96;100.95;29.73;0.44;89;28.33;100.94;0.01;29.73;498.87;12.19;1.64;15.77;45.77;22.32;596.57;624.91;0.86;0.84;0.72
109;Buenos Aires;Lobería;MAR Y SIERRAS;200;85;1.47;4;0.72;90;35;125;8.49;650;15.46;PMR;7.9;20.58;21.24;0;3.18;3.02;10.36;15;3;18;105;20;90;0;200;15.68;22.11;226.07;68.21;57.58;95;149.66;226.05;0.02;68.21;741.71;21.94;2.8;1.85;17.73;54.3;840.32;989.98;0.73;0.95;0.7
110;Buenos Aires;Santa Eleodora;OESTE BONAERENSE;335;155;1.08;9.4;0.8323353293;139;28;167;22.43;650;20.58;PMR;2.3;23.87;24.63;3.41;3.22;3.05;22.36;52;25;77;195;40;140;0;335;36.99;53.01;30.82;5.81;4.86;9;102.72;30.76;0.06;5.81;97.92;1.7;1.4;4.48;9.62;7.86;122.97;225.7;1.27;0.82;1.04
111;Cordoba;Devoto;NORESTE CORDOBA;200;120;0.6;1.2;0.7931034483;58;15;73;13.42;650;17.27;PMR;11.75;13.47;13.9;3.77;3.21;3.05;13.23;20;30;50;145;25;50;0;200;52.48;76.76;281.93;59.7;67.78;128;303.88;281.26;0.67;59.7;1178.85;20.18;2.22;1.23;7.13;106.87;1316.48;1620.36;0.61;0.9;0.54
112;Cordoba;Villa Concepcion del Tio;NORESTE CORDOBA;135;95;1.16;5;0.75;83;28;111;16.81;650;18.51;PMR;5.65;17.24;17.79;3.63;3.24;3.08;16.68;38;21;59;125;30;0;0;135;25.49;52.84;153.68;49.83;14.83;114;165.52;153.66;0.02;49.83;735.55;137.88;12.19;0.83;14.06;72.36;972.87;1138.39;0.8;0.83;0.67
113;Cordoba;Quebracho Herrado;NORESTE CORDOBA;300;232;1.02;4;0.5966029724;141;95;236;13.72;650;17.38;sep;9.69;13.54;13.98;3.88;3.22;3.06;13.51;40;34;74;292;60;0;0;300;26.58;38.71;201.36;71.38;87.09;113;175.9;201.34;0.02;71.38;862.36;92.52;9.56;3.76;47.75;23.51;1039.45;1215.35;0.69;1;0.69
114;Cordoba;Devoto;NORESTE CORDOBA;190;167;1.15;3.7;0.8051948052;155;38;193;13.07;650;17.14;sep;6.86;12.8;13.2;3.93;3.14;2.99;12.77;33;24;57;187;20;0;0;190;23.35;34.01;163.32;71.43;17.5;98;101.29;163.31;0.01;71.43;375;4.77;0.87;3.42;16.45;26.43;426.95;528.24;1.15;1;1.15
115;Cordoba;Devoto;NORESTE CORDOBA;200;134;0.97;2.4;0.7692307692;100;30;130;14.61;650;17.7;PMR;7.78;15.27;15.76;3.51;3.07;2.91;14.34;30;25;55;154;20;40;0;200;19.89;28.97;123.15;47.56;32.74;54;124.14;123.13;0.01;47.56;529.8;2.66;0.92;3.63;15.29;42.53;594.84;718.98;0.7;1;0.7
116;Entre Rios;Colonia la llave;ENTRE RIOS;146;84;1.3;9.4;0.8165137615;89;20;109;9.01;650;15.65;PMR;5.43;21.83;22.53;0;3.18;3.02;10.99;13;0;13;107;23;30;0;146;18.28;26.63;207.5;78.34;36.01;85;130.26;207.47;0.03;78.34;719.66;0.61;0.8;1.99;9.54;49.35;781.94;912.2;0.64;1;0.64
117;Santa fe;Vila;CENTRAL SANTA FE;164;140;1.76;6.2;0.7914979757;196;52;248;19.17;650;19.38;PMR;8.29;20.25;20.89;3.45;3.17;3.01;19.01;60;24;84;160;20;0;0;164;23.81;34.68;252.29;114.03;99.16;117;193.25;252.27;0.03;114.03;1034.64;174.39;19.28;4.79;24.09;35.6;1292.79;1486.04;0.61;1;0.61
118;Cordoba;Adelia Maria;SUR CORDOBA;71;12;2.71;12.2;0.8615384615;28;5;33;17.63;650;18.82;PMR;0;17.43;17.99;3.87;3.28;3.11;17.43;11;5;16;13;1;58;0;71;;;;;;;;;;;;;;;;;;;;;
119;Cordoba;Canals;VILLA MARIA;277;207;1.69;17.8;0.8157142857;286;65;351;25.81;650;21.83;PMR;0;26.89;27.75;3.53;3.21;3.05;25.62;56;26;82;270;63;0;0;277;;;;;;;;;;;;;;;;;;;;;
120;Cordoba;Pascanas;VILLA MARIA;620;300;0.83;9.4;0.7815631263;195;55;250;20;650;19.69;PMR;3.59;20.05;20.69;3.78;3.36;3.19;19.95;40;32;72;460;160;120;0;620;;;;;;;;;;;;;;;;;;;;;
121;Buenos Aires;Navarro;ABASTO;250;180;1.43;8;0.8062015504;208;50;258;23.27;650;20.89;sep;5.54;24.34;25.12;3.51;3.19;3.03;23.08;100;18;118;230;50;0;0;250;;;;;;;;;;;;;;;;;;;;;
122;Buenos Aires;Navarro;ABASTO;240;185;0.78;8;0.8620689655;125;20;145;9.8;650;15.94;sep;0.95;21.71;22.41;0.25;2.27;2.16;10.11;52;32;84;225;40;0;0;240;;;;;;;;;;;;;;;;;;;;;
123;Buenos Aires;Cuartel IX;ABASTO;139;103;1.65;7;0.8529411765;145;25;170;19.64;650;19.56;PMR;6.31;20.41;21.06;3.55;3.17;3.01;19.42;30;38;68;139;36;0;0;139;;;;;;;;;;;;;;;;;;;;;
124;Buenos Aires;Roman Baez;ABASTO;220;180;1.14;6;0.9024390244;185;20;205;21.51;650;20.25;PMR;5.19;23.14;23.88;3.34;3.07;2.92;21.24;60;100;160;220;40;0;0;220;;;;;;;;;;;;;;;;;;;;;
125;Buenos Aires;Navarro;ABASTO;231;211;1.3;8;0.8727272727;240;35;275;29.33;650;23.12;sep;10.46;21.07;21.75;6.32;3.29;3.12;27.64;70;110;180;224;13;0;0;231;;;;;;;;;;;;;;;;;;;;;
