ID. Productor:;Provincia;Localidad;CUENCA LECHERA;SUPERFICIE TOTAL TAMBO (Has);Sup VACA ADULTA (Has);Carga VT;Kg MS concentrado / VO / dia - promedio anual;% VACA ORD.;VO;VS;VT;LCG;PV VO;CMS;Sistema alimentación;CMS pastura;lts;kg/d;%GB;%PC;% PV;LCGP;Terneras recría (< 12 meses);Terneros/as guachera;total rianza+recria;Sup a trabajar;RECRIA         (Has);"AGRICULTURA
(Has)";"GANADERIA
(Has)";SUPERFICIE TOTAL TAMBO (Has);Energia CO2 TNCO2eq / año;Fertilizante N2O TNCO2eq / año;Animales CH4 TNCO2eq / año;Animales N2O TNCO2eq / año;Fertilizante (propio) N2O TNCO2eq / año;Residuos (propio) N2O TNCO2eq / año;Total materias primas NCO2eq / año;Fermentacion entérica Recría TNCO2eq / año;CH4 extretas recria TNCO2eq / año;N2O excretas recría TNCO2eq / año;Fermentación enterica tambo CH4 TNCO2eq / año;Manejo Estiercol CH4 TNCO2eq / año;Manejo estiercol N2O TNCO2eq / año;Estiercol en pastura CH4 TNCO2eq / año;Estiercol en pasturas N2O TNCO2eq / año;Energía CO2 TNCO2eq / año;Total Tambo TNCO2eq / año;Total establecimiento TNCO2eq / año;Total establecimeinto KgCO2eq / Lt;Factor de allocacion %;Total leche KgCO2eq / Lt
14;Santa Fe;Colonia Bicha;CENTRAL SANTA FE;121;117;1.23;4.2;0.6898954704;99;45;144;17.19;650;18.66;PMR;7.33;17.21;17.76;3.78;3.31;3.14;17.07;20;40;60;118;1;0;0;121;2.51;2.92;78.09;14.05;0;66;29.98;78.03;0.06;14.05;352.05;3.58;1.6;2.8;20.83;24.55;405.41;435.39;0.71;0.9;0.63
15;Santa Fe;NUEVO TORINO;CENTRAL SANTA FE;196;169;0.82;5.5;0.6678700361;93;46;139;13.9;650;17.45;sep;6.87;14.93;15.41;3.35;3.24;3.07;13.91;0;30;30;169;0;0;0;196;15.97;27.13;58.57;11.48;10.58;77;62.14;58.23;0.34;11.48;323.87;8.61;1.63;2.35;21.63;8.46;366.55;428.69;0.91;0.84;0.77
16;Santa Fe;Ceres;CENTRAL SANTA FE;74;70;1.54;5.8;0.75;81;27;108;7.12;650;14.95;sep;6.69;17.24;17.79;0;3.18;3.02;8.68;42;18;60;71;1;0;0;74;9.91;11.84;119.47;36.02;0;39;41.16;119.46;0.01;36.02;228.83;1.31;0.83;1.65;13.14;19.41;265.17;306.33;1.19;1;1.19
17;Santa Fe;Las Bandurrias;CENTRAL SANTA FE;322;100;2.5;8.4;0.84;210;40;250;22.53;650;20.62;TMR;0;24.48;25.26;3.28;3.18;3.02;22.48;60;15;75;100;0;200;0;322;21.77;28.53;133.93;23.26;67.25;72;265.13;133.81;0.12;23.26;733.69;101.35;12.99;0;0;147.57;995.61;1260.74;0.73;0.91;0.67
18;Santa Fe;Monte Oscuridad;CENTRAL SANTA FE;168;136;2.05;6;0.7989228007;223;56;279;23.46;650;20.96;PMR;10.21;25.26;26.07;3.33;3.08;2.93;23.19;0;23;23;136;0;30;0;168;18.47;28.68;13.15;5.94;0;81;129.69;13.14;0;5.94;871.97;10.49;2.52;5.01;27.05;82.55;999.6;1129.29;0.6;0.94;0.57
19;Santa Fe;Maria Luisa;CENTRAL SANTA FE;262;142;1.74;8.4;0.8174442191;202;45;247;20.76;650;19.97;PMR;4.79;21.59;22.28;3.55;3.21;3.05;20.61;78;21;99;182;40;0;0;262;18.71;33.37;243.43;76.87;143.71;87;257.82;243.41;0.02;76.87;784.54;52.59;17.06;4.63;0.26;62.04;921.11;1178.93;0.78;0.88;0.69
20;Santa Fe;Sastre;CENTRAL SANTA FE;180;86;1.41;2.8;0.8884297521;108;14;122;16.63;650;18.45;PMR;4.61;17.57;18.14;3.45;3.04;2.89;16.33;23;43;66;88;2;55;24;180;5.13;2.98;101.51;21.98;0.96;57;38.9;101.43;0.07;21.98;385.82;3.76;4.71;2.87;0.14;29.83;427.13;466.03;0.73;0.84;0.61
21;Santa Fe;Egusquiza;CENTRAL SANTA FE;259;194;0.98;2.2;0.63;120;70;190;10.14;650;16.06;PMR;6.57;10.51;10.85;3.56;3.09;2.94;9.96;50;20;70;254;60;0;0;259;2.31;4.55;122.65;52.89;0;94;43.13;122.64;0.01;52.89;422.16;22.73;2.96;2.71;34.17;36.28;521.01;564.14;1.29;0.91;1.18
22;Santa Fe;Felicia;CENTRAL SANTA FE;122;97;1.24;8;0.875;105;15;120;21.56;650;20.26;PMR;3.12;23.26;24.01;3.32;2.92;2.77;21.02;25;30;55;122;25;0;0;132;23.66;34.46;82.21;19.94;14.91;64;111.1;82.19;0.01;19.94;410.83;12.28;1.05;2.76;7.02;38.07;472.02;583.11;0.72;0.88;0.64
23;Santa Fe;Colonia Dos Rosas;CENTRAL SANTA FE;280;126;1.06;6;0.797752809;107;27;134;20.29;650;19.8;PMR;8.75;20.87;21.54;3.61;3.22;3.06;20.1;20;33;53;181;55;0;95;280;17.7;25.79;130.47;22.01;0;79;85.94;130.02;0.44;22.01;405.56;2.19;0.93;2.52;13.49;42.44;467.13;553.07;0.71;0.88;0.63
